hired,service_year,nvq_level,length_of_service,employee_status,monthly_leaves,average_montly_hours,handle_appointments,customer_satisfaction_level,monthly_basic_salary,yearly_increment
2015,2021,4,6,2,1,241,38,2,45000,1
2017,2019,4,2,2,1,245,44,1,66000,1
2016,2018,4,2,2,0,282,31,2,50000,1
2016,2021,2,5,2,1,246,40,2,39000,1
2016,2020,4,4,2,1,243,43,1,66000,1
2018,2021,3,3,2,5,205,24,1,40000,0
2016,2019,5,3,2,0,250,40,1,42000,1
2020,2021,2,1,1,3,181,10,1,33000,0
2017,2019,3,2,2,0,251,39,1,51000,1
2018,2021,4,3,2,2,234,32,2,41000,1
2015,2019,5,1,1,0,215,18,1,27000,1
2020,2021,4,1,1,5,163,12,2,34000,0
2018,2021,5,3,2,3,226,39,1,42000,1
2015,2018,5,3,2,2,245,37,1,45000,1
2018,2020,4,2,2,1,243,32,2,42000,1
2017,2018,2,1,1,1,194,24,1,30000,1
2018,2020,3,2,2,1,242,37,1,44000,1
2016,2020,3,4,2,1,247,36,1,55000,1
2017,2020,3,3,2,1,240,31,3,40000,1
2017,2020,2,3,2,3,230,33,2,39000,1
2015,2020,2,5,2,5,204,28,3,39000,0
2015,2020,3,5,2,0,280,33,1,43000,1
2020,2021,3,1,1,4,171,16,3,38000,0
2015,2017,3,2,2,0,265,40,2,54000,1
2018,2019,4,1,1,2,185,10,2,40000,0
2018,2021,5,3,2,4,228,45,1,38000,1
2018,2019,5,1,1,3,182,16,1,28000,0
2018,2019,3,1,1,1,200,25,2,25000,1
2016,2019,3,3,2,3,232,30,2,42000,0
2015,2017,2,2,2,5,204,22,3,39000,0
2016,2019,5,3,2,2,250,43,2,69000,1
2019,2021,3,2,2,5,204,30,2,38000,0
2020,2021,2,1,1,3,178,16,3,31000,0
2016,2019,3,3,2,2,244,33,3,39000,1
2019,2021,4,2,2,5,204,23,1,38000,0
2017,2019,5,2,2,2,245,33,2,52000,1
2016,2019,2,3,2,5,203,30,3,40000,0
2015,2017,3,2,2,2,248,44,2,48000,1
2016,2021,2,5,2,5,210,23,1,39000,0
2018,2021,5,3,2,4,215,30,3,39000,0
2018,2021,2,3,2,3,235,36,3,40000,1
2015,2017,5,2,2,4,219,37,1,38000,0
2019,2020,4,1,1,5,168,13,1,33000,0
2020,2021,5,1,1,5,164,25,3,35000,0
2015,2018,4,3,2,2,231,30,2,48000,0
2017,2021,4,4,2,3,230,31,2,49000,1
2018,2020,2,2,2,3,225,38,3,39000,1
2016,2021,2,5,2,1,244,39,2,39000,1
2015,2016,2,1,1,4,170,19,1,39000,0
2017,2020,4,3,2,1,242,45,2,68000,1
2015,2017,4,2,2,5,209,29,2,39000,0
2015,2020,4,5,2,1,249,36,1,46000,1
2017,2018,3,1,1,2,185,22,2,27000,1
2017,2018,4,1,1,0,209,24,3,34000,0
2016,2021,2,5,2,3,238,37,1,39000,1
2018,2021,4,3,2,1,240,42,2,69000,1
2019,2020,2,1,1,1,196,22,3,38000,0
2015,2017,4,2,2,3,237,30,1,54000,0
2017,2020,2,3,2,5,201,22,3,39000,0
2015,2017,3,2,2,0,299,37,1,54000,1
2017,2021,3,4,2,2,235,45,2,48000,1
2019,2020,2,1,1,1,199,25,3,39000,0
2017,2020,5,3,2,2,249,37,1,49000,1
2019,2020,2,1,1,1,200,19,1,35000,1
2017,2020,2,3,2,1,241,44,1,38000,1
2015,2019,3,1,1,4,173,10,2,30000,0
2020,2021,4,1,1,3,180,11,3,40000,0
2020,2021,2,1,1,4,169,14,3,32000,0
2017,2019,4,2,2,3,230,36,2,43000,1
2018,2020,3,2,2,4,229,40,1,38000,1
2016,2017,2,1,1,1,196,14,2,39000,0
2020,2021,4,1,1,0,217,15,2,37000,0
2020,2021,4,1,1,0,202,25,1,32000,1
2016,2020,2,4,2,1,241,30,3,39000,0
2017,2020,5,3,2,4,217,33,1,38000,0
2018,2020,4,2,2,2,239,40,2,50000,1
2016,2020,3,4,2,2,250,34,1,42000,1
2018,2021,2,3,2,4,224,43,3,40000,1
2017,2019,4,2,2,1,248,32,1,48000,1
2015,2016,4,1,1,0,202,10,2,35000,0
2018,2020,2,2,2,3,226,39,1,40000,1
2016,2019,4,3,2,5,206,30,2,39000,0
2020,2021,4,1,1,0,216,19,2,27000,1
2018,2019,4,1,1,2,190,10,2,30000,0
2017,2020,5,3,2,1,240,44,1,61000,1
2020,2021,3,1,1,4,169,11,2,34000,0
2015,2021,3,6,2,2,234,35,1,43000,1
2016,2017,5,1,1,5,168,23,1,33000,0
2016,2021,3,5,2,5,207,25,1,38000,0
2015,2020,2,5,2,5,200,23,3,39000,0
2017,2018,4,1,1,3,183,24,2,33000,1
2020,2021,2,1,1,0,205,20,3,37000,0
2018,2021,4,3,2,4,211,40,1,39000,0
2017,2021,2,4,2,3,239,39,3,39000,1
2019,2020,5,1,1,3,176,21,3,32000,0
2019,2020,3,1,1,0,205,10,2,36000,0
2017,2021,4,4,2,5,203,24,1,40000,0
2020,2021,5,1,1,1,195,18,1,28000,1
2017,2020,2,3,2,2,248,33,3,40000,1
2017,2018,5,1,1,5,162,15,2,37000,0
2018,2019,3,1,1,1,198,19,3,32000,0
2020,2021,3,1,1,3,177,20,1,25000,0
2015,2018,2,3,2,1,246,34,1,39000,1
2020,2021,5,1,1,1,192,22,1,26000,1
2015,2016,3,1,1,4,175,24,3,40000,0
2017,2019,4,2,2,4,230,36,1,40000,1
2018,2019,4,1,1,4,170,23,1,32000,0
2019,2020,5,1,1,4,174,20,2,39000,0
2018,2020,2,2,2,1,242,38,3,39000,1
2018,2019,5,1,1,0,211,10,2,34000,0
2017,2020,5,3,2,1,241,30,3,39000,0
2017,2019,5,2,2,0,266,44,3,38000,1
2018,2021,2,3,2,4,224,30,1,40000,0
2017,2019,2,2,2,3,226,30,1,40000,0
2015,2016,2,1,1,4,176,20,2,38000,0
2015,2019,5,1,1,4,173,22,1,32000,0
2015,2016,2,1,1,2,184,13,3,39000,0
2015,2021,2,6,2,4,225,36,2,40000,1
2017,2021,4,4,2,5,202,28,1,39000,0
2015,2018,2,3,2,4,225,37,2,39000,1
2020,2021,5,1,1,3,177,19,1,33000,0
2018,2020,4,2,2,2,234,32,3,39000,1
2017,2020,4,3,2,5,204,26,3,39000,0
2019,2021,5,2,2,4,223,37,1,39000,1
2020,2021,3,1,1,4,174,25,2,33000,0
2016,2021,4,5,2,5,206,22,3,40000,0
2016,2017,2,1,1,2,190,22,1,38000,1
2020,2021,5,1,1,2,187,15,2,34000,0
2019,2020,2,1,1,4,172,15,1,39000,0
2017,2018,5,1,1,4,170,18,1,37000,0
2017,2020,2,3,2,1,248,32,1,39000,1
2016,2017,3,1,1,4,175,11,2,30000,0
2016,2020,4,4,2,2,232,37,1,48000,1
2018,2019,5,1,1,2,188,19,3,32000,0
2015,2019,5,1,1,4,172,15,2,34000,0
2018,2021,3,3,2,0,251,37,3,39000,1
2017,2020,3,3,2,3,222,40,1,44000,1
2020,2021,3,1,1,3,183,25,1,27000,1
2018,2021,2,3,2,5,201,22,3,39000,0
2020,2021,5,1,1,4,174,21,1,32000,0
2019,2020,5,1,1,2,184,16,1,35000,0
2015,2020,3,5,2,4,218,39,3,40000,0
2019,2021,5,2,2,4,220,31,1,40000,0
2017,2021,2,4,2,4,219,32,2,40000,0
2015,2016,5,1,1,0,210,17,2,33000,1
2020,2021,5,1,1,2,189,23,1,34000,1
2019,2021,4,2,2,4,210,25,2,38000,0
2019,2020,5,1,1,5,161,14,1,35000,0
2019,2021,2,2,2,1,242,41,2,38000,1
2020,2021,3,1,1,4,169,19,2,38000,0
2018,2019,2,1,1,4,171,22,1,34000,0
2019,2021,4,2,2,3,239,40,2,45000,1
2018,2019,3,1,1,4,175,14,2,30000,0
2020,2021,5,1,1,5,168,13,1,40000,0
2016,2021,3,5,2,2,247,33,2,53000,1
2015,2016,2,1,1,3,184,18,3,31000,0
2019,2021,4,2,2,4,218,40,1,40000,0
2019,2020,5,1,1,1,199,20,1,33000,1
2016,2020,3,4,2,1,240,41,2,44000,1
2017,2020,3,3,2,5,207,24,2,39000,0
2017,2019,5,2,2,2,239,31,1,50000,1
2015,2020,5,5,2,0,297,41,1,65000,1
2017,2019,3,2,2,1,243,34,2,55000,1
2015,2018,4,3,2,5,210,24,2,40000,0
2016,2018,5,2,2,4,214,30,1,40000,0
2016,2018,3,2,2,5,209,28,1,40000,0
2018,2021,5,3,2,3,232,44,1,46000,1
2019,2020,5,1,1,1,197,23,1,32000,1
2017,2018,2,1,1,5,161,14,1,39000,0
2018,2019,5,1,1,4,171,22,3,30000,0
2016,2018,3,2,2,0,293,44,2,55000,1
2018,2021,4,3,2,3,232,42,1,54000,1
2018,2020,3,2,2,3,227,37,2,43000,1
2018,2021,3,3,2,1,243,39,3,38000,1
2018,2020,5,2,2,3,229,33,1,44000,1
2019,2020,3,1,1,2,185,11,3,34000,0
2018,2020,4,2,2,1,246,42,3,38000,1
2020,2021,5,1,1,3,177,11,1,32000,0
2016,2021,2,5,2,2,243,39,1,39000,1
2016,2018,5,2,2,5,200,28,2,39000,0
2020,2021,3,1,1,5,167,13,3,38000,0
2019,2021,4,2,2,4,229,35,2,40000,1
2016,2017,3,1,1,5,168,12,2,40000,0
2018,2019,4,1,1,0,209,18,3,32000,0
2015,2019,5,1,1,0,218,22,1,34000,1
2015,2020,5,5,2,0,266,34,2,52000,1
2019,2021,5,2,2,4,225,34,2,38000,1
2017,2018,3,1,1,1,195,20,3,32000,0
2020,2021,4,1,1,0,208,25,2,31000,1
2018,2020,4,2,2,0,282,36,1,46000,1
2017,2018,2,1,1,5,168,11,2,37000,0
2015,2021,2,6,2,0,295,34,2,39000,1
2018,2020,2,2,2,5,205,26,2,39000,0
2015,2017,5,2,2,1,243,41,1,64000,1
2019,2020,5,1,1,0,205,18,2,34000,1
2020,2021,5,1,1,3,181,24,1,29000,1
2016,2019,3,3,2,1,246,31,2,46000,1
2020,2021,4,1,1,0,204,20,3,37000,0
2020,2021,5,1,1,3,182,25,3,38000,0
2017,2018,3,1,1,4,169,17,1,39000,0
2019,2021,3,2,2,5,201,26,3,39000,0
2019,2021,2,2,2,4,229,36,2,39000,1
2017,2018,5,1,1,2,192,14,1,38000,0
2018,2020,2,2,2,3,229,35,3,39000,1
2018,2019,5,1,1,4,169,12,1,38000,0
2015,2020,2,5,2,5,209,26,2,40000,0
2016,2020,3,4,2,2,231,41,2,49000,1
2017,2019,5,2,2,0,284,39,1,45000,1
2017,2018,2,1,1,1,195,21,1,34000,1
2017,2021,4,4,2,4,230,38,3,39000,1
2017,2020,5,3,2,0,264,42,3,39000,1
2016,2019,5,3,2,0,268,40,1,50000,1
2016,2020,3,4,2,5,207,24,3,39000,0
2020,2021,3,1,1,3,180,15,1,30000,0
2018,2021,2,3,2,1,245,42,3,39000,1
2018,2020,2,2,2,4,220,36,2,38000,0
2015,2021,3,6,2,5,206,29,3,40000,0
2015,2019,4,1,1,1,193,19,2,25000,1
2019,2021,4,2,2,3,234,32,1,52000,1
2018,2019,2,1,1,3,176,14,3,31000,0
2018,2021,2,3,2,3,237,44,3,38000,1
2018,2019,2,1,1,2,191,19,1,33000,1
2018,2020,2,2,2,0,256,36,3,39000,1
2018,2020,3,2,2,2,233,40,2,41000,1
2017,2020,4,3,2,0,276,40,2,41000,1
2017,2019,4,2,2,4,227,34,2,38000,1
2020,2021,5,1,1,5,168,20,1,40000,0
2015,2018,5,3,2,1,244,38,1,49000,1
2016,2020,3,4,2,3,226,41,2,48000,1
2020,2021,3,1,1,4,170,10,3,34000,0
2016,2019,5,3,2,1,247,34,1,50000,1
2018,2020,3,2,2,0,297,37,1,41000,1
2015,2021,4,6,2,3,224,43,2,46000,1
2020,2021,3,1,1,5,160,21,3,30000,0
2018,2021,5,3,2,0,300,30,2,44000,0
2015,2021,4,6,2,5,207,25,3,38000,0
2019,2020,3,1,1,0,214,18,1,29000,1
2015,2017,4,2,2,0,297,34,1,53000,1
2019,2020,4,1,1,0,213,12,1,39000,0
2020,2021,4,1,1,3,184,11,3,31000,0
2020,2021,3,1,1,1,192,19,1,34000,1
2019,2021,2,2,2,5,210,26,1,40000,0
2016,2021,5,5,2,0,298,37,1,40000,1
2017,2020,3,3,2,2,234,35,1,44000,1
2016,2019,5,3,2,1,243,42,2,64000,1
2020,2021,4,1,1,5,168,17,2,32000,0
2016,2020,3,4,2,5,204,27,3,39000,0
2017,2019,5,2,2,2,237,32,1,55000,1
2015,2017,3,2,2,5,202,22,2,39000,0
2016,2020,4,4,2,0,285,31,1,42000,1
2019,2021,2,2,2,5,207,25,3,38000,0
2019,2020,5,1,1,3,179,25,2,34000,0
2018,2020,3,2,2,2,246,43,2,54000,1
2015,2021,4,6,2,2,231,33,2,55000,1
2018,2019,4,1,1,1,198,12,3,31000,0
2015,2020,2,5,2,3,231,39,2,39000,1
2018,2021,3,3,2,5,203,25,1,40000,0
2020,2021,4,1,1,0,218,24,2,29000,1
2019,2020,2,1,1,3,183,13,2,31000,0
2016,2019,3,3,2,4,215,30,2,39000,0
2015,2019,2,1,1,3,182,20,1,32000,1
2019,2020,4,1,1,3,181,11,1,34000,0
2019,2020,5,1,1,4,176,17,1,32000,0
2020,2021,5,1,1,1,198,23,1,28000,1
2016,2021,5,5,2,1,243,32,1,47000,1
2019,2021,5,2,2,2,245,31,3,38000,1
2016,2020,3,4,2,5,203,28,1,40000,0
2015,2021,4,6,2,3,224,40,1,41000,1
2015,2020,3,5,2,5,205,29,2,38000,0
2015,2021,4,6,2,2,247,36,2,45000,1
2015,2016,3,1,1,0,211,24,1,32000,1
2018,2020,3,2,2,3,235,40,1,52000,1
2019,2020,5,1,1,0,211,11,1,37000,0
2020,2021,5,1,1,5,161,17,3,37000,0
2019,2021,3,2,2,4,225,45,2,39000,1
2017,2021,5,4,2,1,244,34,1,54000,1
2017,2020,3,3,2,4,226,32,1,38000,1
2016,2021,5,5,2,4,211,42,2,39000,0
2019,2020,4,1,1,4,168,17,3,32000,0
2015,2017,5,2,2,1,248,33,1,46000,1
2020,2021,5,1,1,3,176,14,1,31000,0
2018,2020,5,2,2,2,233,33,1,53000,1
2016,2019,5,3,2,4,214,31,1,38000,0
2019,2021,3,2,2,4,229,43,2,39000,1
2017,2018,4,1,1,5,168,19,2,31000,0
2020,2021,5,1,1,4,176,14,1,40000,0
2018,2019,3,1,1,1,192,10,2,32000,0
2016,2017,3,1,1,1,199,22,1,28000,1
2017,2021,4,4,2,5,209,27,2,39000,0
2017,2019,4,2,2,1,246,42,2,65000,1
2017,2021,4,4,2,5,207,28,1,39000,0
2015,2021,5,6,2,1,242,44,1,67000,1
2020,2021,2,1,1,0,204,13,1,34000,0
